album_id,album
5IenxFp0vpnXBUxPcwJtbE,MKTO
71xFWYFtiHC8eP99QB30AA,Curtain Call (Deluxe)
7DJG2krID3cGfejO7YRr3c,Party Time! 50 Classic Party Tracks
2UJwKSBUz6rtW4QLK74kQu,BEYONCÉ [Platinum Edition]
307C8qOXhP1iVcp2MttpmO,You Know You Like It
4JlzEvVJqpb62Xwc0EmOHr,Shower
0dAvbhVYW3bGnLldQ8Nvwn,American Beauty/American Psycho
6J84szYCnMfzEcvIcfWMFL,Doo-Wops & Hooligans
5KpPYX8443nXEn6tvOKAjQ,Watch Me (Whip / Nae Nae)
7we1BNenehBwimeIkK0jL0,A Town Called Paradise
4teOxn2qMATVwP9XlSp4lH,Payphone
2ryym6yEc6r3ZuigHBDr1A,Headlights (feat. Ilsey)
04G0YylSjvDQZrjOfE5jA5,We Sing. We Dance. We Steal Things.
6ijGiBcBfUwkoyHn5VUHU2,Overexposed Track By Track
7Kmmw7Z5D2UD5MVwdm10sT,Torches
6MBuQugGuX7VMBX0uiBnAQ,"Hurry Up, We're Dreaming"
4neocSMt40stXKK2B8Sy2G,Fan of A Fan The Album (Expanded Edition)
43wpzak9OmQfrjyksuGwp0,Escape
5z4h0RXuUgEiUjEAFUKiV3,Jealous (Remix)
2By7VYul963jWbTnegRA2b,Four Pink Walls
3QZ9gSv35M8vfQA127l3vn,Dark Sky Paradise (Deluxe)
4E7bV0pzG0LciBSWTszra6,X&Y
2R7iJz5uaHjLEVnMkloO18,Mylo Xyloto
3F41BssbVvfFnh6DdDODeO,Meet The Orphans
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends
6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version)
5CZR6ljD0x9fTiS4mh9wMp,Only By The Night
39P7VD7qlg3Z0ltq60eHp7,I AM...SASHA FIERCE
6TJmQnO44YE5BtTxH8pop1,Hot Fuss
1ftvBBcu7jYIvXyt3JWB8S,The Eminem Show
0spT2EJ0PlKmrwydKWHRA1,[What's the Story] Morning Glory? [Remastered]
6uZYkBePCdUP1LltEt9Qin,Hold My Hand
2uEf3r9i2bnxwJQsxQ0xQ7,Nevermind (Deluxe Edition)
62hc7RczwANxSpkHuUC5jY,Reality
0EXLFY4NFNx4FlpAlFO7ly,Graduation (UK Version)
28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness
7m2Gzfu5nMgHTiMbNDwPr7,Title (Expanded Edition)
68s1AYwi1JtoTOD0ggqr2j,We the Generation
1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition)
1kqXau1FkG7RGKCwo0OWs1,Love Myself
5yQ3ctYzF5d1SgMzhyWe8s,VHS
2Ri94NAjmRjZkOgqoQCK8R,Handwritten (Revisited)
7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive
6eZdwrhB97A3EYx9QppGfl,T R A P S O U L
1txlKAEVt0FL3dLOAX6pZj,Daya
5cOhR878H8hC3UsxYq5Xyv,All My Friends (feat. Tinashe & Chance the Rapper)
77HfZENS166sAS9SUoBwYG,The Greatest
6GPV0x3fUwSE4EJOAcbSWo,Close
3zXR5GOXPq0Uc7tWC9fO3X,Skin
7nsWIOWiX7Zt0AdR5imU50,Once In a While
5Ouuxga807CPAs81lSloBJ,DUELE EL CORAZON (feat. Wisin)
7EvlnQaVuUuFLIeSuE6nRq,This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016]
0l28Q1FFEA0mtpEdEQw1r3,Don't Mind
7uwTHXmFa1Ebi5flqBosig,25
0ezwRysfWCrR5tDgpBwkIw,Hymn for the Weekend (Seeb Remix)
2gcqSlK5xTxcpuLZ1iik3Z,Final Song
5y6AnqHZ247zdHCF9avGCU,Capsize
2SF8Wbc61u8hlQkZYGVCnx,Please Don't Go
2mRBvhDWqm8Fj2U0F6mMY4,Blue Neighbourhood (Deluxe)
704GHNtZhEe9TBgleCNNGv,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)
2JkfTpYUHaeOqwMKxDu2n4,Let Me Hold You (Turn Me On)
6ZXHGBMAPVpVKtIirvWRzq,Broccoli (feat. Lil Yachty)
0dzeoQhVNzKkwM5ieOJC54,My Way
0S9QJQiRmG9JYYfJfKqhDF,Illuminate (Deluxe)
5gyYLXgAcJoZrFgsmzA4MM,SremmLife 2 (Deluxe)
3jJKDKdlwRS584zUlHV2Ly,EVOL
1fXwOvaqIdkhp5F3fiFbCv,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)
2LYwooMTH1iJeBvWyXXWUf,Energía
5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe)
0TbxqNfvk8z1ktpHik61cy,Scream & Shout
7iycyHwOW2plljYIK6I1Zo,Some Nights
3GD5rN7BaRG8kg63Xse1To,Somebody
08QA1LIBYfgH1j3yfnjY1O,"Oh, What A Life"
4mkvtXQd6rD7zuAHhexEvb,Levels
6FM2zi33hm46NY9mk5jIV8,Chapter One (Deluxe Version)
5XJ2NeBxZP3HFM8VoBQEUe,Bangarang EP
