album_id,label
7DdEbYFPKTZ8KB4z6L4UnQ,Rhino/Warner Records
5O6izFQ2veRaZOcQSyOi4o,Columbia
6pTMhQX8gt1xegiIwo3Ekb,Republic Records
6plavTFCGXv5vpy0jZVtOV,WM UK
5edB3I7c5aZj1bH2obUXne,Cali y El Dandee PS
0B2NMC13p92JyFvXudy69Q,WM Mexico
1UkOPjlvgtqoeeIETfK2fs,Dumont Dumont
1fK6nUQDMeIciyfhAADix8,Not specified
40l9uf8fvmVzRRXQCVwhOJ,Nicki Minaj/Cash Money
3IJ5RDbQeiWIf7Fo601JwE,RCA Records Label
3qoMadqfValFjOdwKh9TsL,Black Butter
2nnIlWcriIqcJtjduWcTRl,J Records
7uUIEZ7uNLHJdpvVUxpB1e,Virgin
1AckkxSo39144vOBrJ1GkS,Epic
7LHFVlsndw7HxDGJPWJS7S,Hillsong Music and Resources LLC
49BbDxaXZIPz4sZE6G7618,Los Oídos Fresh
4tokbQaFXRrq8keVGBD9vb,Republic Records
4YQQS1DM9JskregbISv1dq,WM Brazil
2cDt5R89HP8ZCXhNAmZs27,222 Records/Interscope Records
1eeYYgK208xvkCEGkYqWah,Banks
3FrSGEYwEQS2Qx9nPt5WUs,Rien 100 Rien
3xhACmNvvaKmvdslE1bevB,Sony Music Latin
0oMdQJsCjyasZI6T8ojBGB,WorkShow
1fd9ERd2XLppseTB8bTbBW,Honesty Saves Time/RCA Records
0ntJpgznXrZ6Qc8wTxtcXh,Fiction
6KSvWFf4g4PrIldtchJsTC,Angèle VL Records
1gaKmKxsQv1tu6w4UB9TIm,Universal Music AB
69BEwRfwBeIpoene374tX2,Sony Music Entertainment
0aihmuRLi1gBkxk4mbNfcv,J Records
4ZylcATH7a5JkgNNGXxwhJ,Urban
66OYt73mqan1hWa78BhfPd,YG Entertainment/Interscope Records
5dGWwsZ9iB2Xc3UKR0gif2,RBMG/Def Jam
22bIKKLwA5JL4iNUjR1bf9,independently popular.
1OnzqJTL9bwe4kvaLxRYxt,Kemosabe Records/RCA Records
7dfPqXck6BB9wpThrVYBss,Aftermath Entertainment/Atlantic
2a8IWtMGQl8oIA3lUtLDQw,Republic Records/Gee Roberson
13xlpKbai3GGoMSr75lOeX,Into The Wild Soundtrack
5WMLlQk7xLN9A40jipd3xo,Priority Records
00wSTrFxoSzA7eeS1UxHgd,EMI / Interscope
78KtSyGocoTvmcgw1lUHp4,Urban
6M4Nu5UgX097dxeF2lm9P8,Atlantic Records
0HQhToIjonHnJRRPN4jeJU,Geffen
0SV8dxSGFR0KzVzskmii6y,WorkShow
6qb9MDR0lfsN9a2pw77uJy,Wolf Tone
15M9pZ8gsdoN67yLjyQ039,Golden Child Recordings
0cZAE6guibfcYmTZD7hiae,Highbridge the Label / Atlantic Records
5I7lLu8xXJfGRdFUqHaLQU,Interscope
5vJNAlQeTf9lsulO1YlmSt,EDAM Entertainment
4v0FSMsulZqfi28KIdwDfb,Eardruma Records/Interscope Records
0zdZSyxWaYmaRMPeUHcG1K,Polar Music International AB
2FwpEC226o3WpXoptGbk85,Colour Vision Records/Sony Music Entertainment
6rcbbhcm8Os7EiVRHP9Aef,Atlantic Records
2lppc5R9jiNgGoB7qXPWlr,Monstercat
51kijm0sjZz0yOa3kVBPUU,RBMG/Def Jam
2adSO4KU3FDjeM1PXCRDZm,Atlantic Records
1FirK6WH5dVjMLSRpjjHAI,"UMG Recordings, Inc."
1zEBi4O4AaY5M55dUcUp3z,Polydor Records
5v5BfkxWDAKTkzrXl3H0mU,American Recordings Catalog P&D
46K4raQPIGem3N031upNj9,5 Seconds Of Summer/Interscope
1WJ3UbOi2QYGuRgXCc9FIV,Epic
36tML2tWjDrbLW4FgrX17U,Perfect Havoc / Asylum Records
57ppCWTeAnqooyrR4DzbwR,Rich Music
243XzHQegX82bPnUVQ0SPV,Columbia
49kf7gWWtReFwPcCNsvyUf,Atlantic Records UK
1q3j12Y1sp2eqqffSnyA93,(주)블렌딩
50ZTMRi6Biq1i1pWbcaKaJ,RCA Records Label
4UoEi8sYhfBkFEkvZDfb74,iamcosmic
1dg0gmrCaEbENVXpPIvi1m,"MSFTSMusic / Roc Nation Records, LLC"
16TT0OKoyEgD22nj70WUEi,Hollywood Records
4K8bxkPDa5HENw0TK7WxJh,A&M
