channelId,channelTitle,publishedAt,spotify_index,title,video_id
UC61baUoIGkDzh_gWGRpnIcA,thefrayVEVO,2009-11-24T06:25:08Z,851,The Fray - How to Save a Life (Official Video),cjVQ36NhbMk
UCOvEMf00DnwdkpOCRWdc6uA,Charli XCX,2017-07-26T18:59:05Z,2577,Charli XCX - Boys [Official Video],mPRy1B4t5YA
UCZW5lIUz93q_aZIkJPAC0IQ,88rising,2018-09-12T14:00:08Z,3364,Joji - SLOW DANCING IN THE DARK,K3Qzzggn--s
UCOnoQYeFSfH0nsYv0M4gYdg,FlaGeorgiaLineVEVO,2015-06-11T01:00:00Z,1888,Florida Georgia Line - Anything Goes,wQfP1lcJ_eo
UCz9yS18zJGQObwUL_K-ICnw,KarolGVEVO,2017-06-08T20:00:01Z,1433,"Karol G, Bad Bunny - Ahora Me Llama (Official Video)",4NNRy_Wz16k
UCrSczPA0uxFM-PgWOeDX-ew,NellyFurtadoVEVO,2009-06-17T00:08:32Z,1611,Nelly Furtado - Promiscuous (Official Music Video) ft. Timbaland,0J3vgcE5i2o
UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,2018-09-14T03:58:17Z,4101,Martin Garrix &amp; Justin Mylo - Burn Out (Official Video) feat. Dewain Whitmore,DylzGXE_ibU
UCpmBpSoy6YQjcshNK6pSyIA,FrenchMontanaVEVO,2016-06-09T16:00:05Z,1519,French Montana - Lockjaw (Official Video) ft. Kodak Black,pIHR7rUeGTc
UCfyi9QuDWdapI6ICbjYgxtA,JonasBrothersVEVO,2013-03-29T14:51:10Z,3581,Jonas Brothers - Burnin&#39; Up (Official Music Video),5KNEZJ6KkLI
UC9YTouco1dW1KIZL-P3znoA,TheCureVEVO,2010-02-23T14:50:13Z,2705,The Cure - Close To Me (Official Video),BjvfIJstWeg
UCte53PewI8_jYpBYn071MqQ,Sech,2019-09-26T04:09:57Z,2645,"Sech, Ozuna - Si Te Vas (Video Oficial)",QhY1YU8AxLE
UCNMceJPDpB-1ZQJzh2PZ1qw,CageTheElephantVEVO,2014-09-04T17:58:17Z,1689,Cage The Elephant - Cigarette Daydreams (Official Video),opeETnB8m8w
UCq8x90UTaVXcNHuWa6OQgjA,TheWhoVEVO,2019-10-18T04:00:05Z,3968,The Who - Who Are You (Promo Video),PNbBDrceCy8
UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,2015-03-23T16:00:03Z,925,J. Cole - G.O.M.D. (Video),vHU6ZRQJ50Q
UCRRDW9soKSiOisOMyM3TzhQ,BeeGeesVEVO,2021-06-12T15:00:11Z,3400,Bee Gees - More Than A Woman (Lyric Video),uQ9_MwZIaoc
UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,2015-05-27T13:00:03Z,80,The Weeknd - The Hills (Official Video),yzTuBuRdAyA
UCHXLdkU91Fci1WP6lLqImKQ,LyricalGuys,2019-12-18T01:00:02Z,3760,Drake - 9 (Lyrics),JID7u-6DgxY
UCbulh9WdLtEXiooRcYK7SWw,Metallica,2009-10-27T01:53:30Z,1412,Metallica: One (Official Music Video),WM8bTdBs-cw
UCVttQE6tS_agDSAU61Q65aA,EnriqueIglesiasVEVO,2014-01-20T08:00:01Z,3810,Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,tLcfAnN2QgY
UC8DBdOsq1zu-PbKHG8kNV0g,Pillow,2020-07-29T19:49:12Z,3976,Straight Up &amp; Down - Bruno Mars (Lyrics) 🎵,3oWk46wDNxU
UCpCM20tj1dE4uddsKErNpPA,AceHoodVEVO,2013-02-20T08:00:38Z,4284,"Ace Hood - Bugatti (Official Music Video) (Explicit) ft. Future, Rick Ross",djE-BLrdDDc
UC3SEvBYhullC-aaEmbEQflg,Mac Miller,2016-12-13T02:05:35Z,2470,Mac Miller - My Favorite Part (feat. Ariana Grande),J_8xCOSekog
UCDEYb3vsh6_kEAq95U-SV_g,England,2017-11-02T19:55:25Z,3430,One day Tate McRae lyrics,F9zeI5NoysA
UCDgEglMcFTNpDbGEeQcummw,ChvrchesVEVO,2013-08-05T19:00:09Z,1916,CHVRCHES - The Mother We Share,_mTRvJ9fugM
UCI1SjlTf1ZxZrTDXSDQ7LAQ,Michael Westyn,2018-02-03T21:22:36Z,1861,The Monkees - I&#39;m a Believer (2006 remastered),h3kJ1Hj9how
UCfWPAzQoAdO92EQCHyuSwXw,DaughterVEVO,2013-06-19T23:00:33Z,3214,Daughter - Youth,2QT5eGHCJdE
UCBG23A6QEgi8lzxbWDrNquQ,GoodCharlotteVEVO,2009-10-25T19:33:51Z,1615,Good Charlotte - The Anthem (Video),desJKYvdq9A
UCX-OWRcv5AZFGoSFxVoiTYA,LANYVEVO,2016-11-11T16:00:01Z,2856,LANY - ILYSB (Official Lyric Video),RPvhItA3lIM
UCvu362oukLMN1miydXcLxGg,EllieGouldingVEVO,2018-11-14T15:00:01Z,1814,"Ellie Goulding, Diplo, Swae Lee - Close To Me (Official Video)",ajN57m_OSpY
UCl7cVzHngS0kg51TPrDbqlg,Shadow Music,2019-07-11T19:57:56Z,2316,"Billie Eilish, Justin Bieber - bad guy (Lyrics)",r8a6hbhf5hI
UCq1Xs9MvZnf7GvxtDF0MsVA,GoldeenRock1992,2012-01-05T00:13:33Z,1322,02 - I Want To Break Free (Single Remix) - Queen Remastered 2011,UUPkABMOj-Q
UCBRFlde39a2U4nAkmGqJwAQ,Flo Rida,2012-02-09T14:54:15Z,357,Flo Rida - Wild Ones ft. Sia [Official Video],bpOR_HuHRNs
UCo3XxCemfZL-GiqMzwrZWkA,NAVVEVO,2020-03-30T19:00:12Z,3336,NAV &amp; Gunna ft. Travis Scott - Turks (Official Video) ft. Travis Scott,WB1xTnTwF3Q
UCRVLPbSeq5wkN4RUMe9rtUQ,BombaEstereoVEVO,2018-05-24T04:00:04Z,3149,Bomba Estéreo - To My Love (Tainy Remix),THBP1tq49wk
UClVrJwcIy7saPcGc1nct80A,Fueled By Ramen,2012-10-24T17:57:01Z,3011,Fun.: Carry On [OFFICIAL VIDEO],q7yCLn-O-Y0
UCKI6DNZu8-X5VWI0FEEYCTA,Bazzi,2020-03-05T17:00:11Z,3995,Bazzi - Young &amp; Alive [Official Music Video],GBFD4Ab3yBY
UC8XOgFi8fEA1Xc-j-gAqnxw,Devin Dawson,2017-07-06T13:53:11Z,2715,Devin Dawson - All On Me (Official Music Video),ntCMoh-0ogo
UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,2017-11-22T05:00:01Z,3,Post Malone - rockstar ft. 21 Savage,UceaB4D0jpo
UCkiXOKnkDO4qz3njQoz86LA,JheneAikoVEVO,2013-11-12T17:00:01Z,1478,Jhené Aiko - The Worst (Official Music Video),oEm3lY3trRU
UC0YlhwQabxkHb2nfRTzsTTA,Galantis,2015-01-19T22:00:33Z,184,Galantis - Runaway (U &amp; I) (Official Video),5XR7naZ_zZA
UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,2017-08-25T16:38:44Z,42,XXXTENTACION - Jocelyn Flores (Audio),FAucVNRx_mU
UCdI8evszfZvyAl2UVCypkTA,MileyCyrusVEVO,2013-06-19T15:47:00Z,246,Miley Cyrus - We Can&#39;t Stop (Official Video),LrUvu1mlWco
UCCCIzjqbX7psrn0HYG50phg,Gustavo Mioto,2020-02-28T15:21:52Z,3136,Gustavo Mioto - SOLTEIRO NÃO TRAI - DVD Ao Vivo Em Fortaleza,JfWc-GeL4LY
UCBL7ZxVX4GvW4CFiES_-0YA,Anne-Marie,2018-05-08T11:05:08Z,1421,Anne-Marie - 2002 [Official Video],Il-an3K9pjg
UCRKNyJc9Bo1vbBO_67wyQEQ,Jess Glynne,2019-06-17T15:59:35Z,4176,Jess Glynne &amp; Jax Jones - One Touch (Official Video),Xb8F5prMjnA
UCYp3rk70ACGXQ4gFAiMr1SQ,Rammstein Official,2015-07-31T14:36:42Z,2656,Rammstein - Sonne (Official Video),StZcUAPRRac
UCbSZmyCsCMsMwCr3kHnTl6w,MIKAVEVO,2009-12-23T17:29:59Z,1960,MIKA - Grace Kelly (Official Video),0CGVgAYJyjk
UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,2014-12-09T22:00:01Z,2950,J. Cole - Apparently (Official Music Video),eRaFMlZ1YHA
UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO,2020-11-20T05:00:11Z,3698,"Shawn Mendes, Justin Bieber - Monster",MPbUaIZAaeA
UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO,2013-05-07T15:40:06Z,93,Imagine Dragons - Demons (Official Video),mWRsgZuwf_8
UCo3XxCemfZL-GiqMzwrZWkA,NAVVEVO,2019-06-13T20:58:42Z,2761,NAV - Tap ft. Meek Mill,awgcC3Mg4Zc
UCmZgot99CN2PQ_TFnQ3L92Q,Lipbite Music - Vocals,2021-08-26T10:06:39Z,3227,Wild Horses (2009 Mix) - The Rolling Stones | Only Vocals (Isolated Acapella),J6nfhiZKnTg
UC8MMiPcTeVE-7ZDdkIQpZ1Q,MikeWillMadeitVEVO,2017-03-29T04:00:08Z,2838,Mike WiLL Made-It - Aries (YuGo) ft. Pharrell (Official Music Video),pPErE9xTw0g
UCFY1gD9VMrMdPgLuCaZPojg,JackJohnsonVEVO,2013-06-28T19:26:19Z,2658,Jack Johnson - I Got You (Official Video),dBWFUVq85gs
UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,2019-11-21T17:00:04Z,2493,BAD BUNNY - VETE | YHLQMDLG (Video Oficial),f5aDUB1NCnk
UChpJbg7zMbi5jx9Gdjaxa9g,KanyeWestVEVO,2016-07-01T15:30:00Z,535,Kanye West - Famous,p7FCgw_GlWc
UC7zOpx9wgvGBCDEjujnAPQA,BigSeanVEVO,2015-03-03T20:00:00Z,703,"Big Sean - Blessings (Official Explicit Video) ft. Drake, Kanye West",M6t47RI4bns
UCbW18JZRgko_mOGm5er8Yzg,OneDirectionVEVO,2014-10-24T15:00:04Z,344,One Direction - Steal My Girl,UpsKGvPjAgw
UCNDAbwbXmmgosddFdUyRWwg,welovephoenix,2009-04-16T18:33:40Z,2216,Phoenix - Lisztomania Official Video (Best Quality + Lyrics),4BJDNw7o6so
UCsQG1uamy9ydZrF79v16IBg,NickJonasVEVO,2014-07-31T10:00:04Z,2263,Nick Jonas - Chains,U8UX2bbCHJw
