track,track_id,artist,album,sp_release_date,duration,explicit,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,time_signature,playcount,video_id,view,channelTitle,yt_release_date,title,genres
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,beerbongs & bentleys,2018-04-27,03:51,1,0.68,0.578,10,-5.804,1,0.04,0.0,0.135,0.341,145.038,4,1503753368,UYwF-jdcVjY,487518477,PostMaloneVEVO,2018-10-05T17:46:29Z,Post Malone - Better Now,
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,03:36,0,0.572,0.385,7,-6.362,1,0.0308,0.0,0.231,0.323,95.799,4,1655883754,bo_efYhYU2A,1220455676,LadyGagaVEVO,2018-09-27T16:30:01Z,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",rock
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,03:36,0,0.572,0.385,7,-6.362,1,0.0308,0.0,0.231,0.323,95.799,4,1655883754,bo_efYhYU2A,1220455676,LadyGagaVEVO,2018-09-27T16:30:01Z,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",pop
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,03:36,0,0.572,0.385,7,-6.362,1,0.0308,0.0,0.231,0.323,95.799,4,1655883754,bo_efYhYU2A,1220455676,LadyGagaVEVO,2018-09-27T16:30:01Z,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",country
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,Encore,2016-08-05,03:26,0,0.476,0.718,8,-5.309,1,0.0576,1.02e-05,0.122,0.142,199.864,4,1476513373,euCqAq6BRa4,1025088047,DJSnakeVEVO,2016-11-29T18:00:02Z,DJ Snake - Let Me Love You ft. Justin Bieber (Official Video),electronic-dance
Faded,1brwdYwjltrJo7WHpIvbYt,Alan Walker,Faded,2015-12-04,03:33,0,0.589,0.651,6,-5.097,1,0.0306,3.2e-06,0.111,0.166,90.011,4,1479701541,60ItHLz5WEA,3182720701,Alan Walker,2015-12-04T07:00:30Z,Alan Walker - Faded,electronic-dance
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,2015-05-15,03:22,0,0.734,0.637,4,-5.677,0,0.141,2.29e-05,0.0602,0.648,169.977,4,1535876038,pXRviuL6vMY,2416397033,Fueled By Ramen,2015-04-28T03:05:18Z,twenty one pilots: Stressed Out [OFFICIAL VIDEO],rock
7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings,2019-01-18,02:59,1,0.725,0.321,1,-10.744,0,0.323,0.0,0.0884,0.319,70.142,4,1597670930,QYh6mYIJG2Y,1088362507,ArianaGrandeVevo,2019-01-18T04:57:49Z,Ariana Grande - 7 rings (Official Video),hip hop
7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings,2019-01-18,02:59,1,0.725,0.321,1,-10.744,0,0.323,0.0,0.0884,0.319,70.142,4,1597670930,QYh6mYIJG2Y,1088362507,ArianaGrandeVevo,2019-01-18T04:57:49Z,Ariana Grande - 7 rings (Official Video),pop
7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings,2019-01-18,02:59,1,0.725,0.321,1,-10.744,0,0.323,0.0,0.0884,0.319,70.142,4,1597670930,QYh6mYIJG2Y,1088362507,ArianaGrandeVevo,2019-01-18T04:57:49Z,Ariana Grande - 7 rings (Official Video),r&b
Congratulations,6syOdAs4IK8kPWR7gDyjRw,Post Malone,Stoney,2016-12-09,03:40,1,0.629,0.817,6,-4.261,1,0.0357,0.0,0.317,0.466,123.087,4,1467753561,SC4xMk98Pdc,1397986072,PostMaloneVEVO,2017-01-23T18:00:30Z,Post Malone - Congratulations ft. Quavo,hip hop
Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,Hozier,Hozier (Deluxe),2014-05-20,04:2,0,0.566,0.664,4,-5.303,0,0.0464,0.0,0.116,0.437,128.945,4,1581787330,PVjiKRfKpPI,549490148,HozierVEVO,2014-03-25T14:00:03Z,Hozier - Take Me To Church (Official Video),rock
