video_id,view,channelId,channelTitle,publishedAt,spotify_index,title
Y7ix6RITXM0,270059597,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,2014-06-24T04:00:01Z,159,Maroon 5 - Maps (Lyric Video)
dKlgCk3IGBg,131721893,UCCsEkPFtMYnfQoTenSsur-w,DeanLewisVEVO,2016-10-20T13:04:00Z,1859,Dean Lewis - Waves (Official Video)
dKlgCk3IGBg,131721893,UCCsEkPFtMYnfQoTenSsur-w,DeanLewisVEVO,2016-10-20T13:04:00Z,3574,Dean Lewis - Waves (Official Video)
aCyGvGEtOwc,228809513,UCc7_woMAIVIW2mAr1rPCsFQ,Paramore,2007-05-15T02:28:02Z,2736,Paramore: Misery Business [OFFICIAL VIDEO]
g6mDSHAfa4M,59225098,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,2016-08-23T07:00:02Z,993,G-Eazy - Calm Down (Official Music Video)
N6O2ncUKvlg,572697911,UCzQNgpWWPLuoAC6zA3VejzA,NellyVEVO,2010-09-21T20:21:14Z,1113,Nelly - Just A Dream (Official Music Video)
j-sz8M8gc6U,596320038,UCz2SUbUr2k0T3nEmutgsPjg,Hear This Music,2018-01-19T23:42:44Z,1577,Ozuna x Bad Bunny x Wisin x Almighty X Dj Luian X Mambo Kingz - Solita
3jTjBt0Enyw,104820512,UCLTZddgA_La9H4Ngg99t_QQ,SuicideSheeep,2014-07-16T16:30:02Z,2450,Disclosure - Help Me Lose My Mind (Mazde Remix)
S2oxFIsENgM,106513908,UC-d_WZCjZ8f2NidLJ4guqyg,Joel Adams,2015-12-23T20:48:37Z,318,Joel Adams - Please Don&#39;t Go (Official Music Video)
9NwZdxiLvGo,67187364,UCtuGozGshjqqErhHGEmHnJw,Jack Ü,2015-10-26T03:59:08Z,2513,Skrillex &amp; Diplo - To Ü ft AlunaGeorge (Official Video)
lPx0n6X0d8g,69004248,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,2020-05-08T12:00:32Z,3702,Ofenbach &amp; Quarterhead - Head Shoulders Knees &amp; Toes (feat. Norma Jean Martine) [Lyric Video]
vLIs9eolQJU,15489512,UCNXZhw6vtB1j4a7EzgVh6_w,DarrianMorgan,2017-03-30T02:25:41Z,2564,Leave - Post Malone
O1OTWCd40bc,211816984,UCF_fDSgPpBQuh1MsUTgIARQ,TheWeekndVEVO,2012-10-18T16:00:25Z,495,The Weeknd - Wicked Games (Official Video - Explicit)
RtSDWq6HsJE,138616778,UCzQNgpWWPLuoAC6zA3VejzA,NellyVEVO,2009-10-08T10:48:27Z,1112,Nelly - Ride Wit Me (Official Music Video) ft. St. Lunatics
mDyxykpYeu8,166225887,UClVrJwcIy7saPcGc1nct80A,Fueled By Ramen,2013-10-02T13:58:41Z,1058,twenty one pilots: House of Gold [OFFICIAL VIDEO]
